Numerical Date,Average 13 Air Pressure [mbar] ,Average 13 Air Temperature [°C] ,Average 123 Water Temperature [°C] ,Average 123 Water Conductivity [mS/cm] ,Average 13 Wind Speed on X axis [m/s] ,Average 13 Wind Speed on Y axis [m/s] ,Average 123 Water Current Amplitude On X axis [cm/s] ,Average 123 Water Current Amplitude On Y axis [cm/s] ,As,A0,A1,A2,A3,A4,A5,A6,A7,A8,A9
44352.45833,1020.2,16.7,16.656,24.393002,1.985989576,-2.635497183,-20.44476952,-9.490150381,0.769520282,1,1,1,1,1,1,1,1,0,0
44352.5,1019.7,16.7,17.031,24.659,2.486867077,-2.013825251,-10.01441972,-22.28309444,0.761633594,1,1,1,1,1,1,1,1,0,0
44352.54167,1019.9,16.9,17.069,24.612001,0.78732869,-3.410295227,-0.527111924,-25.16447999,0.748434025,1,1,1,1,1,1,1,1,0,0
44352.58333,1019.7,16.7,17.077002,24.648,0.967289534,-4.189791279,7.667130037,-22.26696246,0.721641569,1,1,1,1,1,1,1,1,0,0
44352.625,1019.5,16.9,17.417002,24.793001,0.054102462,-3.099527955,10.68688921,-16.77505586,0.488333403,1,1,1,1,1,0,0,0,0,0
44352.66667,1019.4,17.6,17.114,24.829,-0.613980609,-2.008240083,16.71614723,10.98045636,0.41763064,1,1,1,1,1,0,0,0,0,0
44352.70833,1019.25002,17.1,16.9245,24.678501,-0.510820808,-2.943437738,11.53724648,14.7232166,0.656113472,1,1,1,1,1,1,1,0,0,0
44352.75,1019.10004,16.6,16.735,24.528002,-0.407661007,-3.878635392,6.358345731,18.46597684,0.88709009,1,1,1,1,1,1,1,1,1,0
44352.79167,1018.3,16.7,17.227001,24.736002,-1.328485837,-3.129716502,0.333937566,21.25737721,0.886635835,1,1,1,1,1,1,1,1,1,0
44352.83333,1018.9,16.2,16.398,23.878,-2.454349525,-3.03086925,-9.668716158,18.41618657,0.85840173,1,1,1,1,1,1,1,1,1,0
44352.875,1018.7,15.5,16.258001,23.721,-2.795964517,-4.145187863,-11.15576473,18.06271888,0.836379406,1,1,1,1,1,1,1,1,1,0
44352.91667,1018.10004,15.400001,16.786001,23.644001,-3.149083339,-3.622605985,-22.91418344,18.29214578,0.818618488,1,1,1,1,1,1,1,1,1,0
44352.95833,1017.60004,15.2,16.563002,22.375002,-2.941050789,-4.528821067,-21.14905293,17.31029925,0.80816304,1,1,1,1,1,1,1,1,1,0
44353,1018.2,15,16.512001,22.343,-2.8085721,-4.49465491,-25.0537257,20.8739773,0.67355014,1,1,1,1,1,1,1,0,0,0
44353.04167,1017.60004,15,16.675001,22.322,-2.626694182,-4.371553234,-30.02500678,19.20178554,0.446986021,1,1,1,1,1,0,0,0,0,0
44353.08333,1017.60004,15,16.645,22.341002,-2.450875658,-3.774017556,-28.12652308,11.07933208,0.446044883,1,1,1,1,1,0,0,0,0,0
44353.125,1016.7,15.2,16.852001,22.198002,-2.35000015,-4.070319658,-23.2591576,4.901473281,0.457783739,1,1,1,1,1,0,0,0,0,0
44353.16667,1016.3,15.2,16.637001,22.131,-2.472529063,-4.460560506,-27.1351644,2.708449476,0.444996593,1,1,1,1,1,0,0,0,0,0
44353.20833,1016.3,15.400001,16.828001,22.322,5.540953278,-7.092096782,-19.59983419,-2.510796666,0.44500892,1,1,1,1,1,0,0,0,0,0
